N;Beg;Mid;End;False
29500;283.570000;491.060000;182.980000;575.350000;
29600;432.150000;184.670000;463.550000;273.500000;
29700;229.210000;184.820000;180.290000;225.280000;
29800;484.730000;291.810000;283.820000;244.100000;
29900;250.620000;301.710000;183.960000;229.350000;
30000;280.300000;457.440000;262.500000;223.090000;
30100;223.890000;185.650000;194.550000;228.600000;
30200;227.690000;235.230000;257.990000;221.600000;
30300;209.820000;188.210000;180.100000;204.580000;
30400;228.490000;190.500000;208.630000;204.170000;
30500;209.190000;181.090000;180.790000;195.710000;
30600;211.310000;183.210000;220.450000;198.930000;
30700;212.390000;224.320000;381.590000;251.160000;
30800;203.190000;188.820000;211.790000;195.680000;
30900;282.300000;201.110000;183.490000;251.000000;
31000;332.880000;209.550000;313.460000;265.040000;
31100;363.410000;297.950000;220.800000;544.520000;
31200;227.260000;224.000000;226.280000;275.270000;
31300;354.070000;237.210000;535.450000;242.750000;
31400;393.170000;210.800000;269.080000;488.020000;
31500;220.490000;274.580000;191.060000;216.820000;
31600;253.650000;228.650000;237.720000;211.920000;
31700;330.820000;227.830000;205.940000;206.770000;
31800;229.020000;223.680000;383.400000;211.190000;
31900;287.630000;210.670000;196.040000;207.610000;
32000;297.090000;197.510000;210.820000;259.020000;
32100;236.360000;210.830000;197.250000;201.960000;
32200;207.020000;225.520000;219.110000;205.070000;
32300;208.780000;218.890000;195.730000;249.390000;
32400;302.530000;228.600000;223.920000;420.560000;
32500;286.780000;238.010000;199.300000;360.030000;
32600;237.210000;202.880000;223.470000;215.370000;
32700;218.160000;194.800000;200.610000;241.880000;
32800;315.890000;278.200000;355.450000;341.460000;
32900;262.740000;282.160000;194.420000;236.400000;
33000;224.740000;206.290000;223.510000;222.990000;
33100;238.080000;210.230000;191.440000;219.230000;
33200;210.860000;202.400000;313.780000;210.200000;
33300;334.660000;193.620000;183.770000;197.260000;
33400;233.770000;194.050000;211.360000;196.480000;
33500;194.610000;186.190000;180.380000;235.630000;
33600;194.370000;184.800000;236.670000;234.850000;
33700;204.560000;186.490000;182.540000;203.170000;
33800;383.820000;206.520000;210.080000;256.190000;
33900;367.820000;203.470000;183.010000;236.320000;
34000;260.770000;278.100000;232.930000;218.010000;
34100;204.930000;182.720000;182.160000;199.960000;
34200;738.220000;202.560000;215.560000;304.160000;
34300;230.670000;230.010000;209.910000;241.050000;
34400;296.050000;198.420000;211.330000;331.840000;
34500;602.620000;225.140000;186.880000;210.520000;
34600;204.480000;184.480000;207.070000;198.300000;
34700;202.910000;183.240000;333.140000;196.890000;
34800;201.680000;222.470000;246.370000;229.650000;
34900;197.720000;183.610000;180.290000;197.330000;
35000;191.390000;181.590000;207.750000;194.610000;
35100;196.970000;185.400000;180.730000;260.750000;
35200;289.360000;418.950000;209.940000;630.220000;
35300;253.680000;222.140000;245.660000;211.770000;
35400;233.210000;375.050000;208.880000;348.520000;
35500;295.850000;274.100000;178.290000;346.510000;
35600;228.350000;179.510000;204.670000;201.500000;
35700;241.930000;206.530000;664.290000;205.170000;
35800;256.570000;213.570000;217.810000;194.930000;
35900;208.860000;207.330000;191.150000;231.170000;
36000;208.480000;194.330000;215.460000;508.980000;
36100;184.630000;178.020000;175.440000;225.030000;
36200;218.600000;199.160000;209.600000;190.800000;
36300;184.010000;200.350000;177.320000;216.750000;
36400;197.000000;197.030000;208.980000;231.360000;
36500;298.930000;320.550000;189.890000;388.930000;
36600;298.870000;213.210000;223.230000;223.780000;
36700;630.350000;202.680000;413.290000;204.770000;
36800;301.470000;338.390000;214.640000;208.700000;
36900;253.200000;193.420000;184.180000;205.910000;
37000;218.530000;208.090000;216.840000;356.330000;
37100;238.210000;200.610000;183.210000;220.390000;
