N;Beg;Mid;End;False
40900;29.000000;29.000000;29.000000;29.000000;
41000;29.000000;29.000000;29.000000;29.000000;
41100;29.000000;27.000000;27.000000;29.000000;
41200;27.000000;29.000000;29.000000;29.000000;
41300;27.000000;27.000000;27.000000;27.000000;
41400;27.000000;27.000000;27.000000;27.000000;
41500;29.000000;27.000000;27.000000;29.000000;
41600;29.000000;29.000000;29.000000;29.000000;
41700;27.000000;27.000000;27.000000;29.000000;
41800;27.000000;27.000000;27.000000;29.000000;
41900;27.000000;27.000000;27.000000;29.000000;
42000;29.000000;27.000000;27.000000;29.000000;
42100;27.000000;27.000000;27.000000;29.000000;
42200;27.000000;27.000000;27.000000;27.000000;
42300;27.000000;27.000000;27.000000;29.000000;
42400;27.000000;27.000000;27.000000;27.000000;
42500;29.000000;27.000000;27.000000;29.000000;
42600;27.000000;27.000000;27.000000;27.000000;
42700;27.000000;27.000000;27.000000;29.000000;
42800;27.000000;27.000000;27.000000;29.000000;
42900;27.000000;27.000000;27.000000;27.000000;
43000;27.000000;29.000000;29.000000;29.000000;
43100;27.000000;27.000000;27.000000;29.000000;
43200;27.000000;27.000000;27.000000;29.000000;
43300;27.000000;27.000000;27.000000;27.000000;
43400;27.000000;27.000000;27.000000;27.000000;
43500;27.000000;29.000000;29.000000;29.000000;
43600;27.000000;27.000000;27.000000;27.000000;
43700;27.000000;27.000000;27.000000;27.000000;
43800;27.000000;27.000000;27.000000;27.000000;
43900;29.000000;29.000000;29.000000;29.000000;
44000;27.000000;29.000000;29.000000;29.000000;
44100;27.000000;27.000000;27.000000;29.000000;
44200;27.000000;27.000000;27.000000;27.000000;
44300;27.000000;27.000000;27.000000;29.000000;
44400;29.000000;29.000000;29.000000;29.000000;
44500;27.000000;29.000000;29.000000;29.000000;
44600;27.000000;29.000000;29.000000;29.000000;
44700;27.000000;27.000000;27.000000;29.000000;
44800;29.000000;27.000000;27.000000;23.000000;
44900;27.000000;29.000000;29.000000;29.000000;
45000;29.000000;29.000000;29.000000;29.000000;
45100;29.000000;29.000000;29.000000;23.000000;
45200;29.000000;27.000000;27.000000;29.000000;
45300;27.000000;29.000000;29.000000;29.000000;
45400;27.000000;31.000000;31.000000;27.000000;
45500;27.000000;31.000000;31.000000;29.000000;
45600;29.000000;31.000000;31.000000;29.000000;
45700;29.000000;27.000000;27.000000;29.000000;
45800;27.000000;31.000000;31.000000;29.000000;
45900;27.000000;31.000000;31.000000;29.000000;
46000;27.000000;31.000000;31.000000;29.000000;
46100;29.000000;31.000000;31.000000;29.000000;
46200;27.000000;31.000000;31.000000;29.000000;
46300;27.000000;31.000000;31.000000;29.000000;
46400;27.000000;31.000000;31.000000;29.000000;
46500;27.000000;31.000000;31.000000;31.000000;
46600;29.000000;31.000000;31.000000;29.000000;
46700;27.000000;31.000000;31.000000;29.000000;
46800;31.000000;31.000000;31.000000;29.000000;
46900;31.000000;31.000000;31.000000;29.000000;
47000;31.000000;31.000000;31.000000;31.000000;
47100;31.000000;29.000000;29.000000;23.000000;
47200;31.000000;31.000000;31.000000;29.000000;
47300;31.000000;31.000000;31.000000;29.000000;
47400;31.000000;31.000000;31.000000;31.000000;
