N;DC;DS;DT;DCN;DSN;IC;IS;IT;ICN;ISN;MC;MS;MT;MCN;MSN;QC;QS;QT;QCN;QSN;HC;HS;HT;HCN;HSN
6200;81444.203125;44173.398438;946;13.136162;7.124742;9573302.000000;9573302.000000;50525;1544.080933;1544.080933;70382.296875;78608.000000;895;11.351983;12.678710;114018.796875;19193.000000;667;18.390129;3.095645;113943.898438;54425.300781;549;18.378048;8.778275;
6300;83039.000000;45626.898438;611;13.180794;7.242365;9939037.000000;9939037.000000;36503;1577.624878;1577.624878;71651.601562;80008.000000;928;11.373270;12.699682;112957.703125;19633.500000;674;17.929794;3.116429;112985.101562;55417.699219;557;17.934143;8.796460;
6400;87699.000000;46569.699219;644;13.702969;7.276515;10241062.000000;10241062.000000;37698;1600.165894;1600.165894;72942.796875;81408.000000;908;11.397312;12.720000;116567.000000;19965.099609;693;18.213594;3.119547;116648.500000;56395.601562;567;18.226328;8.811812;
6500;87836.296875;49023.601562;650;13.513276;7.542092;10582905.000000;10582905.000000;38929;1628.139282;1628.139282;74273.398438;82808.000000;1003;11.426677;12.739693;119710.000000;20262.000000;692;18.416924;3.117231;119865.296875;57518.500000;578;18.440815;8.849000;
6600;88011.101562;47905.699219;672;13.335015;7.258439;10825184.000000;10825184.000000;39977;1640.179443;1640.179443;75520.796875;84208.000000;1848;11.442545;12.758788;118734.296875;20713.800781;1284;17.990046;3.138455;118748.398438;58458.601562;1064;17.992182;8.857364;
6700;90508.296875;49601.699219;1171;13.508701;7.403239;11179934.000000;11179934.000000;59758;1668.646851;1668.646851;76782.703125;85608.000000;971;11.460105;12.777313;120867.703125;20960.099609;722;18.039955;3.128373;120307.500000;58426.000000;592;17.956343;8.720299;
6800;92707.296875;51645.601562;703;13.633426;7.594942;11548430.000000;11548430.000000;42574;1698.298584;1698.298584;78115.796875;87008.000000;981;11.487617;12.795294;122185.898438;21371.500000;736;17.968515;3.142868;122176.203125;60259.398438;607;17.967089;8.861676;
6900;92970.898438;50866.601562;678;13.474043;7.371971;11904078.000000;11904078.000000;43904;1725.228638;1725.228638;79388.101562;88408.000000;992;11.505522;12.812754;126452.796875;21677.699219;763;18.326492;3.141695;126171.296875;60700.199219;621;18.285696;8.797131;
7000;94548.000000;50758.398438;704;13.506857;7.251200;12285482.000000;12285482.000000;45325;1755.068848;1755.068848;80655.796875;89808.000000;1462;11.522257;12.829714;127683.703125;22080.900391;1031;18.240528;3.154414;127597.398438;61781.699219;788;18.228199;8.825957;
7100;97127.000000;53044.898438;796;13.679859;7.471112;12616421.000000;12616421.000000;46785;1776.960693;1776.960693;81938.500000;91208.000000;1047;11.540634;12.846197;129324.398438;22448.800781;779;18.214705;3.161803;129331.000000;62915.300781;636;18.215633;8.861310;
7200;97800.000000;52737.199219;717;13.583333;7.324611;13001240.000000;13001240.000000;47962;1805.727783;1805.727783;83237.898438;92608.000000;1052;11.560820;12.862223;130715.398438;22755.099609;779;18.154917;3.160430;130539.703125;63594.000000;644;18.130514;8.832500;
7300;99918.398438;54276.601562;734;13.687452;7.435151;13365116.000000;13365116.000000;49055;1830.837769;1830.837769;84568.203125;94008.000000;1054;11.584685;12.877809;133837.093750;23057.699219;796;18.333849;3.158589;134025.906250;64791.000000;657;18.359713;8.875480;
7400;99614.398438;54861.000000;742;13.461405;7.413649;13668421.000000;13668421.000000;50199;1847.083862;1847.083862;85861.203125;95408.000000;1534;11.602865;12.892973;134875.703125;23513.800781;1214;18.226446;3.177541;134618.093750;65265.000000;1101;18.191635;8.819594;
7500;103521.101562;56683.000000;1230;13.802814;7.557734;14089206.000000;14089206.000000;66795;1878.560791;1878.560791;87152.398438;96808.000000;1095;11.620319;12.907733;138911.906250;23730.400391;797;18.521587;3.164053;138769.500000;66259.101562;665;18.502600;8.834547;
